file_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\base.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_base.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_disk_partitioner.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_disk_utils.py,0.0,0.0,0.0,14.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_metrics.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_metrics_statsd.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_metrics_utils.py,0.0,0.0,0.0,0.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\test_utils.py,0.0,0.0,0.0,2.0,1.0
C:\Users\mehedi.md.hasan\PythonWorkspace\OSTK_ANSI\ostk-ansi\ironic-lib\ironic_lib\tests\__init__.py,0.0,0.0,0.0,0.0,1.0
