project_name,file_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\rtt.yaml,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_populate.yaml,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_populate_intf.yaml,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\incidental_vyos_lldp_interfaces\tests\cli\_remove_config.yaml,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\hacking\tests\gen_distribution_version_testcase.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\packaging\release\tests\version_helper_test.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\packaging\release\tests\__init__.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\integration\targets\hello\files\bad.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\unit\plugins\modules\test_hello.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col\tests\unit\plugins\module_utils\test_my_util.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test\ansible_collections\ns\col_constraints\tests\unit\plugins\modules\test_constraints.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test-docker\ansible_collections\ns\col\tests\unit\plugins\modules\test_hello.py,0,0,0,0,1
ansible_ansible,C:\mined_repos\ansible\ansible\test\integration\targets\ansible-test-docker\ansible_collections\ns\col\tests\unit\plugins\module_utils\test_my_util.py,0,0,0,0,1
ANXS_postgresql,C:\mined_repos\ANXS\postgresql\tests\playbook.yml,0,0,0,0,1
ANXS_postgresql,C:\mined_repos\ANXS\postgresql\tests\vars.yml,0,0,0,0,1
ANXS_postgresql,C:\mined_repos\ANXS\postgresql\tests\docker\site.yml,0,0,0,0,1
ANXS_postgresql,C:\mined_repos\ANXS\postgresql\tests\docker\group_vars\all.yml,0,0,0,0,1
ANXS_postgresql,C:\mined_repos\ANXS\postgresql\tests\docker\group_vars\postgresql.yml,0,0,0,0,1
ArdanaCLM_ardana-service,C:\mined_repos\ArdanaCLM\ardana-service\tests\test_data\empty_section\cloudConfig.yml,0,0,0,0,1
ArdanaCLM_ardana-service,C:\mined_repos\ArdanaCLM\ardana-service\tests\test_data\empty_section\data\empty.yml,0,0,0,0,1
atosatto_ansible-minio,C:\mined_repos\atosatto\ansible-minio\molecule\alternative\tests\test_minio_alternative.py,0,0,2,0,1
atosatto_ansible-minio,C:\mined_repos\atosatto\ansible-minio\molecule\cluster\tests\test_minio_cluster.py,0,0,1,0,1
atosatto_ansible-minio,C:\mined_repos\atosatto\ansible-minio\molecule\default\tests\test_minio_default.py,0,0,1,0,1
atosatto_ansible-minio,C:\mined_repos\atosatto\ansible-minio\molecule\resources\tests\test_minio_common.py,0,0,1,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\converge.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\molecule.yml,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\android\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\bitrise-cli\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\default\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\flutter\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\go\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\intermediate-setup\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\node\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\remote-access\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ruby\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\tests\molecule\ssh-setup\tests\test_default.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\android\tests\test_android.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\bitrise-cli\tests\test_bitrise_cli.py,0,0,1,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\brew-repos-fix\tests\test_brew.py,0,0,2,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\flutter\tests\test_flutter.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\go\tests\test_go.py,0,0,4,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\intermediate-setup\tests\test_intermediate_setup.py,0,0,0,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\node\tests\test_node.py,0,0,1,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\remote-access\tests\test_remote_access.py,0,0,4,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ruby\tests\test_ruby.py,0,0,1,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ruby-gems\tests\test_ruby_gems.py,0,0,1,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ssh-setup\tests\test_ssh.py,0,0,2,0,1
bitrise-io_osx-box-bootstrap,C:\mined_repos\bitrise-io\osx-box-bootstrap\roles\ssh-setup\tests\test_sshd.py,0,0,2,0,1
bloomberg_chef-bcpc,C:\mined_repos\bloomberg\chef-bcpc\tests\test_cinder.py,0,0,1,0,1
bloomberg_chef-bcpc,C:\mined_repos\bloomberg\chef-bcpc\tests\test_glance.py,0,0,1,0,1
bloomberg_chef-bcpc,C:\mined_repos\bloomberg\chef-bcpc\tests\test_nova.py,0,0,1,0,1
